32MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.000350,0.018062,0.000135,0.018927,0.001888,0.005841,0.027782,0.012288,0.012236,0.029865,0.010816,0.012537,0.018307,0.002176,0.006410,0.029255,0.008672,0.012957,0.042528,0.010240,0.012814,-1.000000,-1.000000,-1.000000,
0.000377,0.018086,0.000136,0.019773,0.001984,0.005811,0.028327,0.012384,0.012585,0.028306,0.010240,0.012139,0.018614,0.001888,0.005794,0.028250,0.008192,0.012068,0.043041,0.011584,0.012667,-1.000000,-1.000000,-1.000000,
0.000419,0.017890,0.000138,0.018393,0.002112,0.006356,0.028530,0.012416,0.012283,0.028454,0.010976,0.012575,0.019151,0.001888,0.005826,0.028952,0.008544,0.012141,0.045510,0.010496,0.013004,-1.000000,-1.000000,-1.000000,
0.000383,0.018086,0.000127,0.018421,0.001888,0.005915,0.028909,0.012256,0.012860,0.028423,0.010240,0.011912,0.017932,0.002048,0.005821,0.028324,0.008416,0.012734,0.041585,0.010880,0.021694,-1.000000,-1.000000,-1.000000,
0.000373,0.018113,0.000129,0.020305,0.001888,0.005944,0.028100,0.012320,0.012628,0.029723,0.011424,0.012872,0.017956,0.001888,0.005826,0.028374,0.008192,0.013034,0.041740,0.011232,0.012770,-1.000000,-1.000000,-1.000000,
0.000379,0.018083,0.000137,0.018766,0.002048,0.005820,0.027945,0.012288,0.011993,0.028334,0.010240,0.012213,0.018572,0.002048,0.006029,0.028320,0.008192,0.012064,0.045672,0.012032,0.012549,-1.000000,-1.000000,-1.000000,
0.000381,0.017988,0.000130,0.018237,0.002048,0.005839,0.028078,0.012288,0.012056,0.027882,0.011040,0.012293,0.018127,0.001856,0.006234,0.029888,0.008352,0.013166,0.044364,0.011776,0.012865,-1.000000,-1.000000,-1.000000,
0.000411,0.017889,0.000130,0.019839,0.001888,0.005820,0.028636,0.012896,0.012479,0.029048,0.010624,0.012014,0.018184,0.000896,0.005703,0.028138,0.008192,0.012057,0.042413,0.012032,0.012093,-1.000000,-1.000000,-1.000000,
0.000377,0.018066,0.000138,0.018022,0.002048,0.005887,0.029298,0.013600,0.012623,0.027968,0.010304,0.011859,0.019231,0.002208,0.006348,0.028702,0.008256,0.012521,0.043015,0.024416,0.005813,-1.000000,-1.000000,-1.000000,
0.000379,0.017998,0.000157,0.018365,0.001888,0.006134,0.028060,0.012288,0.012291,0.029363,0.010240,0.013123,0.018548,0.001888,0.005727,0.028605,0.009312,0.013029,0.018749,0.006688,0.005796,-1.000000,-1.000000,-1.000000,
0.000374,0.018000,0.000146,0.018132,0.001888,0.005781,0.027516,0.012288,0.012465,0.029556,0.010464,0.012056,0.018552,0.001856,0.006164,0.029304,0.008192,0.012389,0.017482,0.006976,0.006199,-1.000000,-1.000000,-1.000000,
0.000420,0.018194,0.000132,0.023278,0.001888,0.005826,0.027683,0.013792,0.012535,0.028518,0.010848,0.012011,0.018225,0.002048,0.005738,0.028170,0.009152,0.012039,0.017371,0.006944,0.005718,-1.000000,-1.000000,-1.000000,
0.000377,0.017871,0.000114,0.018472,0.001888,0.006135,0.028074,0.012288,0.012727,0.028153,0.010240,0.012521,0.019116,0.002048,0.005915,0.028095,0.008160,0.012982,0.018344,0.007488,0.005796,-1.000000,-1.000000,-1.000000,
0.000412,0.018323,0.000127,0.019120,0.001888,0.005887,0.029052,0.013408,0.012252,0.028547,0.010240,0.013555,0.017930,0.001888,0.005756,0.029345,0.008416,0.012449,0.017297,0.006848,0.005717,-1.000000,-1.000000,-1.000000,
0.000370,0.018050,0.000133,0.019690,0.001984,0.005839,0.029101,0.012288,0.012678,0.028918,0.010496,0.011825,0.018318,0.001888,0.005747,0.027820,0.008288,0.012264,0.017308,0.008192,0.006255,-1.000000,-1.000000,-1.000000,
0.000392,0.017977,0.000125,0.018288,0.002208,0.006292,0.028464,0.012288,0.012630,0.028287,0.010240,0.012598,0.019072,0.002432,0.006460,0.027965,0.008576,0.012381,0.019336,0.006880,0.006254,-1.000000,-1.000000,-1.000000,
0.000383,0.018074,0.000124,0.018520,0.002016,0.005796,0.029761,0.012224,0.012583,0.030330,0.010240,0.012046,0.018257,0.001856,0.005972,0.027910,0.008256,0.012538,0.018357,0.007840,0.005854,-1.000000,-1.000000,-1.000000,
