MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.000783,0.017294,0.000180,0.075053,0.003155,0.017095,0.064684,0.002491,0.017135,0.066486,0.000400,0.009540,0.065397,0.000355,0.008737,
0.000782,0.017436,0.000173,0.075421,0.003157,0.016704,0.064739,0.002432,0.016855,0.069003,0.000412,0.008788,0.065245,0.000369,0.008265,
0.000800,0.017326,0.000162,0.075447,0.003072,0.016201,0.064679,0.002419,0.016385,0.067256,0.000404,0.008506,0.066574,0.000356,0.008269,
0.000777,0.017354,0.000196,0.079491,0.003112,0.016741,0.065112,0.002490,0.017127,0.068317,0.000403,0.008195,0.066108,0.000356,0.008472,
0.000784,0.017463,0.000157,0.073166,0.003045,0.016228,0.064587,0.002483,0.016367,0.066701,0.000403,0.008510,0.065303,0.000376,0.008407,
0.000780,0.017330,0.000208,0.072209,0.003094,0.016689,0.064723,0.002435,0.015725,0.067100,0.000402,0.008437,0.065889,0.000352,0.008364,
0.000793,0.017263,0.000171,0.072038,0.003077,0.021175,0.064398,0.002492,0.016744,0.069952,0.000376,0.008353,0.065144,0.000356,0.008318,
0.000791,0.017363,0.000227,0.076037,0.003202,0.017396,0.064577,0.002451,0.016548,0.067048,0.000402,0.008260,0.066527,0.000353,0.009557,
0.000788,0.017258,0.000169,0.073254,0.003185,0.017032,0.064281,0.002463,0.017052,0.064843,0.000400,0.008395,0.066791,0.000356,0.008103,
0.000785,0.017083,0.000150,0.073357,0.003131,0.016232,0.064914,0.002436,0.016964,0.065938,0.000399,0.008379,0.066196,0.000356,0.008805,
0.000779,0.017169,0.000157,0.072044,0.003084,0.016672,0.064614,0.002396,0.016752,0.092169,0.000458,0.008575,0.067064,0.000358,0.008372,
0.000784,0.017423,0.000176,0.072033,0.003045,0.016160,0.064684,0.002452,0.017138,0.067206,0.000416,0.008424,0.066947,0.000352,0.008571,
0.000787,0.017238,0.000173,0.072922,0.003045,0.016264,0.064457,0.002437,0.016674,0.066315,0.000403,0.008346,0.065713,0.000356,0.008673,
0.000783,0.017401,0.000180,0.071883,0.003228,0.016892,0.064273,0.002413,0.009167,0.066753,0.000408,0.008487,0.066946,0.000354,0.008326,
0.000777,0.017374,0.000243,0.072546,0.003074,0.016316,0.063164,0.002451,0.017151,0.066213,0.000402,0.008433,0.066146,0.000360,0.008398,
0.000786,0.017303,0.000157,0.073291,0.003095,0.016926,0.064936,0.002476,0.016751,0.067257,0.000400,0.008414,0.066878,0.000359,0.008405,
0.000775,0.017243,0.000184,0.072970,0.003102,0.016064,0.063999,0.002450,0.017023,0.065680,0.000400,0.008573,0.066891,0.000360,0.008254,
0.000773,0.017299,0.000198,0.071954,0.003133,0.016757,0.064967,0.002434,0.017089,0.067169,0.000405,0.008342,0.066054,0.000362,0.008331,
