Performing comparisons between CPU Cuda and Tensor implementation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Matrixes size,32,32,,,,,,,,,,,,,,,
Single run computation test,,,,,,,,,,,,,,,,,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),,,,,,,,,,,
MMA CPU,0.004177,0.411205,0.000354,,,,,,,,,,,,,,
MMA Tensor,68.240242,0.015621,0.010845,False,1,0,,,,,,,,,,,
MMA CUDA,0.080122,0.030367,0.008654,True,0,0,,,,,,,,,,,
MMA CUDA Shared,0.071819,0.017295,0.007991,False,0,0,,,,,,,,,,,
MMA CUDA Shared Half,0.081242,0.016787,0.008548,False,0.00005,0.000039,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Multi run computation  test, execution count :150,,,,,,,,,,,,,,,,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing
0.000358,0.017867,0.000157,0.04769,0.003552,0.024334,0.029314,0.012288,0.012372,0.032258,0.01024,0.006346,0.01821,0.006752,0.005732,-1,-1,-1
0.000319,0.017628,0.00014,0.018023,0.002048,0.005937,0.028107,0.012608,0.012149,0.0163,0.008192,0.005771,0.017296,0.00704,0.006191,-1,-1,-1
0.000295,0.017776,0.000189,0.018458,0.001856,0.00618,0.028132,0.012288,0.01241,0.01584,0.008192,0.006095,0.01768,0.006528,0.005657,-1,-1,-1
0.000337,0.017907,0.000152,0.019093,0.001952,0.005677,0.028173,0.012608,0.012288,0.015901,0.007872,0.006305,0.018289,0.007648,0.005708,-1,-1,-1
0.000359,0.01783,0.000159,0.017738,0.002048,0.005729,0.028135,0.013376,0.012219,0.016026,0.007008,0.005792,0.017828,0.008192,0.005657,-1,-1,-1
0.000319,0.017913,0.000146,0.017873,0.002048,0.005737,0.02807,0.012288,0.012414,0.016622,0.007776,0.005829,0.01739,0.008,0.006239,-1,-1,-1
0.000351,0.01778,0.000175,0.01903,0.002048,0.005754,0.028792,0.012576,0.012063,0.015825,0.008064,0.005869,0.01764,0.008192,0.005642,-1,-1,-1
0.000311,0.017749,0.000141,0.01771,0.00192,0.005861,0.02804,0.012288,0.012321,0.015532,0.007872,0.006337,0.018284,0.00752,0.005799,-1,-1,-1
0.000374,0.017763,0.00016,0.018203,0.002048,0.005742,0.027997,0.013952,0.012217,0.015878,0.007776,0.006323,0.017238,0.006688,0.005564,-1,-1,-1
0.000282,0.017639,0.000139,0.018633,0.002048,0.006345,0.028292,0.013376,0.012583,0.016025,0.006944,0.00585,0.017471,0.006912,0.006155,-1,-1,-1
0.000342,0.018004,0.000154,0.017715,0.002144,0.006292,0.02889,0.013536,0.012031,0.015719,0.00752,0.005789,0.018496,0.008,0.0058,-1,-1,-1
0.000387,0.017863,0.000161,0.017805,0.001856,0.005787,0.028146,0.012416,0.012084,0.016194,0.008064,0.005748,0.01729,0.007648,0.005667,-1,-1,-1
0.000292,0.017832,0.000165,0.017898,0.00192,0.005771,0.02836,0.012928,0.012312,0.016199,0.007552,0.006004,0.017701,0.00752,0.005716,-1,-1,-1
0.000302,0.017909,0.000169,0.019093,0.001888,0.005896,0.029128,0.012608,0.012175,0.01594,0.008192,0.005944,0.018271,0.008096,0.006251,-1,-1,-1
0.000345,0.01776,0.000161,0.0181,0.002048,0.005736,0.02866,0.012288,0.01264,0.015649,0.007136,0.005896,0.017413,0.008192,0.005687,-1,-1,-1
0.000278,0.017921,0.000155,0.01855,0.001888,0.005782,0.028232,0.012288,0.01248,0.015795,0.008096,0.005851,0.017067,0.007584,0.006069,-1,-1,-1
0.000337,0.017884,0.000137,0.018291,0.002048,0.00574,0.030049,0.008736,0.005714,0.015628,0.007808,0.005809,0.017561,0.007776,0.005634,-1,-1,-1
0.00036,0.017724,0.000197,0.01785,0.001888,0.005893,0.015109,0.008896,0.005731,0.015599,0.008096,0.005816,0.018204,0.007936,0.005672,-1,-1,-1
0.000272,0.017923,0.000163,0.017902,0.002048,0.005791,0.015692,0.009952,0.00587,0.015339,0.008192,0.005763,0.017396,0.007712,0.006074,-1,-1,-1
0.00035,0.017907,0.000139,0.019407,0.002048,0.005765,0.01539,0.00944,0.005824,0.028258,0.008192,0.006237,0.017515,0.008064,0.005664,-1,-1,-1
0.000294,0.01776,0.000147,0.017595,0.002048,0.005761,0.015273,0.008832,0.005646,0.0151,0.008192,0.005672,0.018841,0.006784,0.006251,-1,-1,-1
0.00036,0.017701,0.000163,0.018276,0.002048,0.006276,0.015011,0.009856,0.0056,0.015224,0.008192,0.005845,0.017548,0.006752,0.005596,-1,-1,-1
0.000294,0.017736,0.000154,0.018466,0.002048,0.005692,0.014927,0.009472,0.005679,0.737473,0.008384,0.007852,0.017677,0.00656,0.005713,-1,-1,-1
0.000296,0.01775,0.000144,0.018085,0.001888,0.00569,0.015811,0.00992,0.006008,0.016354,0.008192,0.007297,0.018898,0.008192,0.005766,-1,-1,-1
0.000269,0.017728,0.00014,0.018048,0.001952,0.005671,0.014871,0.008576,0.006242,0.016814,0.008128,0.005881,0.017361,0.007936,0.005569,-1,-1,-1
0.000355,0.017808,0.000165,0.01857,0.001888,0.006197,0.01487,0.008576,0.005689,0.015002,0.00672,0.007215,0.017172,0.00672,0.005859,-1,-1,-1
0.00027,0.017785,0.000137,0.018884,0.001856,0.005839,0.014823,0.008864,0.005961,0.017101,0.008192,0.007084,0.018475,0.008,0.005674,-1,-1,-1
0.000383,0.017814,0.000144,0.017704,0.001952,0.005757,0.015112,0.009056,0.00576,0.016647,0.008192,0.006943,0.017394,0.008032,0.005697,-1,-1,-1
0.000292,0.017726,0.000196,0.018076,0.002048,0.005749,0.015447,0.008992,0.005753,0.017434,0.007104,0.007101,0.017626,0.008128,0.006246,-1,-1,-1
0.000304,0.017696,0.000159,0.01898,0.002048,0.005774,0.014952,0.00992,0.005874,0.016661,0.00848,0.008728,0.018351,0.006688,0.005604,-1,-1,-1
0.000304,0.017748,0.000142,0.018315,0.001888,0.005785,0.014997,0.009248,0.005684,0.016043,0.008192,0.005996,0.018436,0.007968,0.005727,-1,-1,-1
