MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Rect Tiling 32*64 Loading,MMA CUDA Shared Half Rect Tiling 32*64 Computing,MMA CUDA Shared Half Rect Tiling 32*64 Outputing,MMA CUDA Shared Half Rect Tiling 32*96 Loading,MMA CUDA Shared Half Rect Tiling 32*96 Computing,MMA CUDA Shared Half Rect Tiling 32*96 Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Cublas Loading,MMA Cublas Computing,MMA Cublas Outputing,
0.000379,0.018378,0.000137,0.016069,0.008864,0.006141,0.030277,0.010240,0.013265,0.043687,0.004000,0.013409,0.019054,0.002048,0.006103,0.030287,0.008160,0.013032,0.044623,0.010336,0.013193,0.042787,0.003392,0.013500,0.036707,0.003552,0.012407,
0.000381,0.018404,0.000135,0.015589,0.008640,0.006458,0.029954,0.010432,0.012960,0.044293,0.003456,0.013122,0.019619,0.001920,0.006118,0.029752,0.009504,0.013079,0.043518,0.010304,0.013022,0.044568,0.002048,0.012628,0.035935,0.003936,0.034546,
0.000382,0.018186,0.000140,0.015724,0.009728,0.005933,0.030315,0.010080,0.013673,0.042911,0.003456,0.013832,0.019915,0.000960,0.006170,0.031047,0.008416,0.012862,0.044609,0.010240,0.013645,0.043927,0.002976,0.012872,0.037202,0.002720,0.013132,
0.000375,0.018220,0.000140,0.015552,0.009696,0.005941,0.029985,0.010528,0.013025,0.043355,0.003744,0.013045,0.019108,0.001920,0.006174,0.029636,0.008512,0.013167,0.045162,0.010240,0.013462,0.043148,0.003808,0.012694,0.036197,0.002048,0.013375,
0.000404,0.018152,0.000138,0.016103,0.009184,0.005956,0.030191,0.010400,0.013861,0.042734,0.002528,0.012986,0.019737,0.002048,0.006129,0.030269,0.009536,0.012883,0.043944,0.010240,0.014000,0.042976,0.002208,0.012755,0.036750,0.002624,0.013285,
0.000372,0.018240,0.000134,0.015752,0.008736,0.005911,0.030077,0.010560,0.012917,0.043776,0.003232,0.013113,0.018792,0.002048,0.006286,0.029834,0.008576,0.013291,0.045455,0.008928,0.013099,0.044027,0.003392,0.012687,0.035618,0.002848,0.012550,
0.000341,0.018262,0.000137,0.016415,0.010080,0.006458,0.030813,0.008192,0.006153,0.044064,0.003520,0.013158,0.018586,0.001920,0.005869,0.029584,0.009760,0.013398,0.043487,0.010368,0.013981,0.042974,0.003232,0.012748,0.036479,0.002080,0.013109,
0.000351,0.018269,0.000139,0.015830,0.008864,0.005943,0.015741,0.006912,0.005874,0.042715,0.002592,0.012996,0.018458,0.002048,0.006130,0.030423,0.008224,0.012981,0.044399,0.010240,0.013165,0.043475,0.002240,0.012726,0.036396,0.002048,0.012486,
0.000373,0.018370,0.000153,0.015448,0.008800,0.006085,0.015411,0.006816,0.006196,0.043334,0.004096,0.013852,0.018948,0.002048,0.005877,0.030597,0.009728,0.013563,0.043474,0.010304,0.013815,0.043586,0.002496,0.013311,0.036254,0.002432,0.012410,
0.000376,0.018340,0.000141,0.015896,0.009568,0.005869,0.015707,0.008224,0.006285,0.043614,0.003392,0.013216,0.018950,0.002048,0.005958,0.030223,0.008192,0.012941,0.043348,0.010240,0.013766,0.043454,0.003584,0.013271,0.035978,0.002688,0.012360,
